Animal Name,Chemical,Endpoint Value,Endpoint Description,Range,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type
Vireo bellii (Bell's Vireo),"NITRATE, SODIUM",,% survival,,NR,Embryo,"Cascade Mountain, OR",10,"0, 10 mg/L",TOX-MORT - toxicity benchmarks,3 w,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),"NITRATE, SODIUM",,Embryo mass,,NR,Embryo,"Cascade Mountain, OR",10,"0, 10 mg/L",TOX-Non-Repro-Sublethal - whole animal,3 w,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ENDOSULFAN,,LC10,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ENDOSULFAN,,LC50,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,,LC90,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,,LOEC,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,,LC10,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,8 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,,LC50,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,8 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,,LC90,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,8 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,,LOEC,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,8 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),"NITRATE, SODIUM",,% survival,,NR,Embryo,"Oregon State University, Corvallis",10,"0, 5, 20 mg/L",TOX-MORT - toxicity benchmarks,7 d,Waterborne,Toxicity Factor Datasets
Microtus californicus (California Vole),CYPERMETHRIN,,% survival,,NR,Embryo,"Oregon State University, Corvallis",10,"0.0, 1.0, 5.0 µg/L",TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Microtus californicus (California Vole),CYPERMETHRIN,,Embryo mass,,NR,Embryo,"Oregon State University, Corvallis",10,5.0 µg/L,TOX-Non-Repro-Sublethal - whole animal,48 h,Waterborne,Toxicity Factor Datasets
Microtus californicus (California Vole),CYPERMETHRIN,,Mass,,NR,Neonate,"Oregon State University, Corvallis",10,0.0 µg/L,TOX-Non-Repro-Sublethal - whole animal,48 h,Waterborne,Toxicity Factor Datasets
Microtus californicus (California Vole),CYPERMETHRIN,,Mass,,NR,Neonate,"Oregon State University, Corvallis",10,0.5 µg/L,TOX-Non-Repro-Sublethal - whole animal,48 h,Waterborne,Toxicity Factor Datasets
Microtus californicus (California Vole),CYPERMETHRIN,,Mass,,NR,Neonate,"Oregon State University, Corvallis",10,5.0 µg/L,TOX-Non-Repro-Sublethal - whole animal,48 h,Waterborne,Toxicity Factor Datasets
Scapanus latimanus (Broad-footed Mole),CHLORPYRIFOS,,Survival,,NR,Juvenile,University of Pittsburgh,60,"Pesticide mixtures; Spring exp: 0, 2, 10 ppb; Summer exp: 0, 1, 5 ppb",TOX-MORT - toxicity benchmarks,5 d,Waterborne,Toxicity Factor Datasets
Scapanus latimanus (Broad-footed Mole),GLYPHOSATE,,LC50,,NR,Tadpole,San Francisco State University,144,"0, 5700, 5800, 6900, 7000, 7900, 8800 mg/L",TOX-MORT - toxicity benchmarks,24 h,Waterborne,Toxicity Factor Datasets
Thamnophis sirtalis (Common Garter Snake),GLYPHOSATE,,LC50,,NR,Tadpole,San Francisco State University,144,"0, 5700, 5800, 6900, 7000, 7900, 8800 mg/L",TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,,% mortality,,NR,Tadpole,San Francisco State University,24,5700 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,,% mortality,,NR,Tadpole,San Francisco State University,24,5800 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,,% mortality,,NR,Tadpole,San Francisco State University,24,6900 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,,% mortality,,NR,Tadpole,San Francisco State University,24,7000 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,,% mortality,,NR,Tadpole,San Francisco State University,24,7900 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,,% mortality,,NR,Tadpole,San Francisco State University,24,8800 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,,LC50,,NR,Tadpole,San Francisco State University,24,"0, 520 (440), 1900 (1319), 2700 (1758), 3100 (2198), 5100 (3077), 5200 (3736) mg/L glyphosate (surfactant)",TOX-MORT - toxicity benchmarks,24 h,Waterborne,Toxicity Factor Datasets
Dicamptodon ensatus (California Giant Salamander),GLYPHOSATE,,% mortality,,NR,Tadpole,San Francisco State University,24,5200 (3736) mg/L glyphosate (surfactant),TOX-MORT - toxicity benchmarks,24 h,Waterborne,Toxicity Factor Datasets
Dicamptodon ensatus (California Giant Salamander),GLYPHOSATE,,% mortality,,NR,Tadpole,San Francisco State University,24,520 (440) mg/L glyphosate (surfactant),TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Pseudacris regilla (Pacific Treefrog),GLYPHOSATE,,% mortality,,NR,Tadpole,San Francisco State University,24,170 (132) mg/L glyphosate (surfactant),TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Pseudacris regilla (Pacific Treefrog),GLYPHOSATE,,% mortality,,NR,Tadpole,San Francisco State University,24,370 (264) mg/L glyphosate (surfactant),TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Rana aurora (Northern Red-legged Frog),ZINC SULFATE,,% mortality,,NR,Tadpole,"Colorado Division of Wildlife Aquatic Toxicity Laboratory, Ft. Collins, CO",80,1000 µg/L,TOX-MORT - toxicity benchmarks,96 h,Waterborne,Toxicity Factor Datasets
Rana aurora (Northern Red-legged Frog),ZINC SULFATE,,% mortality,,NR,Tadpole,"Colorado Division of Wildlife Aquatic Toxicity Laboratory, Ft. Collins, CO",80,2000 µg/L,TOX-MORT - toxicity benchmarks,96 h,Waterborne,Toxicity Factor Datasets
