Animal Name,Chemical,Endpoint Value,Endpoint Description,Range,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type
Lithobates catesbeianus,DIELDRIN,,NOAEL,,Not Reported,Tadpole,,20 animals/replicate; 4 replicates/dose,"0, 1.0, 3.8, 12.3, 52.3, 182.0 ug/l",TOX-MORT - toxicity benchmarks,4 d,waterborne,Toxicity Factor Datasets
Lithobates catesbeianus,DIELDRIN,,"whole body dieldrin concentration (ug/g, wet wt.) at the LC50",,Not Reported,Tadpole,,Not Reported,"0, 1.0, 3.8, 12.3, 52.3, 182.0 ug/l",TOX-EXP IND - accumulation,4 d,waterborne,Toxicity Factor Datasets
Lithobates catesbeianus,DIELDRIN,,"whole body dieldrin concentration (ug/g, wet wt.)",,Not Reported,Tadpole,,Not Reported,"0, 1.0, 3.8, 12.3, 52.3, 182.0 ug/l",TOX-EXP IND - accumulation,4 d,waterborne,Toxicity Factor Datasets
Lithobates catesbeianus,DIELDRIN,,"whole body dieldrin concentration (ug/g, wet wt.) at the NOAEL",,Not Reported,Tadpole,,Not Reported,"0, 1.0, 3.8, 12.3, 52.3, 182.0 ug/l",TOX-EXP IND - accumulation,4 d,waterborne,Toxicity Factor Datasets
Lithobates catesbeianus,DIELDRIN,,range of bioconcentration factors; calculated by dividing the whole body tissue dieldrin concentration by water dieldrin concentration,,Not Reported,Tadpole,,20 animals/replicate; 4 replicates/dose,"0, 1.0, 3.8, 12.3, 52.3, 182.0 ug/l",TOX-EXP IND - accumulation,4 d,waterborne,Toxicity Factor Datasets
Lithobates catesbeianus,DIELDRIN,,range of lipid bioconcentration factors; calculated by dividing the whole body bioconcentration values x 100 by percent lipid,,Not Reported,Tadpole,,20 animals/replicate; 4 replicates/dose,"0, 1.0, 3.8, 12.3, 52.3, 182.0 ug/l",TOX-EXP IND - accumulation,4 d,waterborne,Toxicity Factor Datasets
Lithobates catesbeianus,LEAD NITRATE,,preference/avoidance behavior and spontaneous locomotor activity,,Not Reported,Tadpole,,8 animals/dose,"0, 500, 625, 750, 1000 ug/l",TOX-REPRO - behavior,6 d,waterborne,Toxicity Factor Datasets
Lithobates catesbeianus,MEXACARBATE,,"LD50, estimated",,Male,Not Reported,,14,NR,TOX-MORT - toxicity benchmarks,single,gavage,Toxicity Factor Datasets
Falco sparverius,LEAD COMPOUNDS,,mean lead concentration in femur,,Both Male and Female,Adult,,8-14/group,"0.5, 120, 212, 448 ppm (dry wt)",TOX-EXP IND - accumulation,60 d,diet,Toxicity Factor Datasets
Falco sparverius,LEAD COMPOUNDS,,"packed cell volume, hemoglogin concentration, erythrocyte counts",,Both Male and Female,Adult,,8-14/group,"0.5, 120, 212, 448 ppm (dry wt)",TOX-Non-Repro-Sublethal - cellular/biochemical effects,60 d,diet,Toxicity Factor Datasets
Falco sparverius,DIMETHYLMERCURY,,eggshell thickness,,Female,Adult,,Not Reported,"0, 10 ppm",TOX-REPRO - physiology,3 mo,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,eggshell thickness,,Female,Adult,,8/group,6 mg/kg bw/d,TOX-REPRO - physiology,NR,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,Calcium ATPase activity of shell gland,,Female,Adult,,8/group,6 mg/kg bw/d,TOX-REPRO - physiology,NR,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,carbonic anhydrase activity of shell gland,,Female,Adult,,8/group,6 mg/kg bw/d,TOX-REPRO - physiology,NR,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,calcium concentration in blood,,Female,Adult,,8/group,6 mg/kg bw/d,TOX-REPRO - physiology,NR,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,eggshell thickness,,Female,Adult,,2-5 pairs/dose,"0, 0.3, 3, 6, 10 ppm (wet wt)",TOX-REPRO - physiology,6 mo,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,mean DDE concentration in eggs (pooled analyses),,Both Male and Female,Embryo,"N. Niagra Peninsula, Ontario",10 eggs,0.009 mg/kg plant; 0.343 mg/kg soil; 0.605 mg/kg worm; 0.016 mg/kg vole,TOX-EXP IND - accumulation,NR,diet,Toxicity Factor Datasets
Falco sparverius,LEAD (elemental),,eggshell thickness,,Female,Adult,,16 pairs/group,"0, 10, 50 ppm",TOX-REPRO - physiology,5-7 mo,diet,Toxicity Factor Datasets
Falco sparverius,LEAD (elemental),,lead concentration in eggshell,,Female,Adult,,16 pairs/group,"0, 10, 50 ppm",TOX-EXP IND - accumulation,5-7 mo,diet,Toxicity Factor Datasets
Falco sparverius,LEAD (elemental),,lead concentrations in bones,,Female,Adult,,16 pairs/group,"0, 10, 50 ppm",TOX-EXP IND - accumulation,5-7 mo,diet,Toxicity Factor Datasets
Falco sparverius,METHYLPARATHION,,"abnormal posture, ataxia, paresis",,Both Male and Female,Adult,,5/dose,"0, 0.375, 1.0, 2.0, 3.0 mg/kg bw",TOX-Non-Repro-Sublethal - behavioral effects,single,gavage,Toxicity Factor Datasets
Falco sparverius,METHYLPARATHION,,mortality rate 2 hr post-dose,,Both Male and Female,Adult,,5/dose,"0, 0.375, 1.0, 2.0, 3.0 mg/kg bw",TOX-MORT - dose-response data,single,gavage,Toxicity Factor Datasets
Falco sparverius,METHYLPARATHION,,cloacal temperature,,Both Male and Female,Adult,,5/dose,"0, 0.375, 1.0, 2.0, 3.0 mg/kg bw",TOX-Non-Repro-Sublethal - whole animal,single,gavage,Toxicity Factor Datasets
Anas platyrhynchos,MEXACARBATE,,LD50,,Both Male and Female,Not Reported,,12,NR,TOX-MORT - toxicity benchmarks,single,gavage,Toxicity Factor Datasets
Zenaida macroura,MEXACARBATE,,LD50,,Both Male and Female,Not Reported,,8,NR,TOX-MORT - toxicity benchmarks,single,gavage,Toxicity Factor Datasets
Falco sparverius,METHYLPARATHION,,plasma cholinesterase activity 2 hr post-dose,,Both Male and Female,Adult,,5/dose,"0, 0.375, 1.0, 2.0, 3.0 mg/kg bw",TOX-EXP IND - biomarkers,single,gavage,Toxicity Factor Datasets
Falco sparverius,METHYLPARATHION,,brain acetylcholinesterase activity 10 hr post-dose,,Both Male and Female,Adult,,5/dose,"0, 0.375, 1.0, 2.0, 3.0 mg/kg bw",TOX-Non-Repro-Sublethal - cellular/biochemical effects,single,gavage,Toxicity Factor Datasets
Falco sparverius,METHYLPARATHION,,plasma glucose concentrations,,Both Male and Female,Adult,,5/dose,"0, 0.375, 1.0, 2.0, 3.0 mg/kg bw",TOX-Non-Repro-Sublethal - cellular/biochemical effects,single,gavage,Toxicity Factor Datasets
Falco sparverius,"ACEPHATE, DDE (4,4'-)",,prey capturing behavior,,Not Reported,Adult,,5-6/group,50 mg acephate/kg bw +/- 6 ppm DDE (wet wt),TOX-Non-Repro-Sublethal - behavioral effects,"single (acephate)
chronic (DDE)",diet,Toxicity Factor Datasets
Falco sparverius,"ACEPHATE, DDE (4,4'-)",,median serum cholinesterase activity 24 hr post-dose,,Not Reported,Adult,,5-6/group,50 mg acephate/kg bw +/- 6 ppm DDE (wet wt),TOX-EXP IND - biomarkers,"single (acephate)
chronic (DDE)",diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-), DIELDRIN, LEAD COMPOUNDS",,lead concentration in liver,,Female,Juvenile,,2,"38 lead, 48 DDE, 1.2  dieldrin ppm (wet wt) in voles",TOX-EXP IND - accumulation,60 d,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-), DIELDRIN, LEAD COMPOUNDS",,lead concentration in tibia,,Female,Juvenile,,2,"38 lead, 48 DDE, 1.2  dieldrin ppm (wet wt) in voles",TOX-EXP IND - accumulation,60 d,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-), DIELDRIN, LEAD COMPOUNDS",,DDE concentration in carcass,,Female,Juvenile,,2,"38 lead, 48 DDE, 1.2  dieldrin ppm (wet wt) in voles",TOX-EXP IND - accumulation,60 d,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-), DIELDRIN, LEAD COMPOUNDS",,DDE concentration in brain,,Female,Juvenile,,2,"38 lead, 48 DDE, 1.2  dieldrin ppm (wet wt) in voles",TOX-EXP IND - accumulation,60 d,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-), DIELDRIN, LEAD COMPOUNDS",,bw (versus pre-study bw),,Female,Juvenile,,2,"38 lead, 48 DDE, 1.2  dieldrin ppm (wet wt) in voles",TOX-Non-Repro-Sublethal - whole animal,60 d,diet,Toxicity Factor Datasets
Falco sparverius,LEAD (elemental),,mean lead concentration (wet wt) in liver,,Female,Adult,,3/group,49 mg/d (lead shot),TOX-EXP IND - accumulation,60 d,diet,Toxicity Factor Datasets
Falco sparverius,LEAD (elemental),,mean lead concentration (wet wt) in bone,,Female,Adult,,3/group,49 mg/d (lead shot),TOX-EXP IND - accumulation,60 d,diet,Toxicity Factor Datasets
Falco sparverius,LEAD COMPOUNDS,,mean lead concentration (wet wt) in liver,,Female,Adult,,3/group,29.3 ppm,TOX-EXP IND - accumulation,60 d,diet,Toxicity Factor Datasets
Falco sparverius,LEAD COMPOUNDS,,mean lead concentration (wet wt) in bone,,Female,Adult,,3/group,29.3 ppm,TOX-EXP IND - accumulation,60 d,diet,Toxicity Factor Datasets
Falco sparverius,CARBOFURAN,,number of dead kestrels found on treated fields,,Not Reported,Not Reported,,44 fields,0.23 kg/305 m application,TOX-MORT - mortality in the field,NR,field application,Toxicity Factor Datasets
Falco sparverius,CARBOFURAN,,carcass residues of kestrels found dead,,Not Reported,Not Reported,,3 birds,0.23 kg/305 m application,TOX-EXP IND - accumulation,NR,multiple,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,variance in kestrel response time to prey stimulus,,Not Reported,Adult,,6,6 ppm (wet wt),TOX-Non-Repro-Sublethal - behavioral effects,40 d,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,mean DDE concentration in blood (wet wt),,Not Reported,Adult,,6,6 ppm (wet wt),TOX-EXP IND - accumulation,58 d,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,mean eggshell thickness,,Female,Adult,,8-10,"0, 10 ppm (dry wt)",TOX-REPRO - physiology,1 yr,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,mean residues in eggs,,Female,Embryo,,9-10,"0, 10 ppm (dry wt)",TOX-EXP IND - accumulation,1 yr,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,mean eggshell thickness,,Female,Adult,,18,"0, 3 ppm",TOX-REPRO - physiology,6 mo,diet,Toxicity Factor Datasets
Falco sparverius,EPN,,LD50,,Both Male and Female,Adult,,5/group,2.2-11 mg/kg bw,TOX-MORT - toxicity benchmarks,single,oral intubation,Toxicity Factor Datasets
Falco sparverius,FENTHION,,LD50,,Both Male and Female,Adult,,5/group,0.5-2.4 mg/kg bw,TOX-MORT - toxicity benchmarks,single,oral intubation,Toxicity Factor Datasets
Falco sparverius,CARBOFURAN,,LD50,,Both Male and Female,Adult,,5/group,0.3-1.8 mg/kg bw,TOX-MORT - toxicity benchmarks,single,oral intubation,Toxicity Factor Datasets
Falco sparverius,MONOCROTOPHOS,,LD50,,Both Male and Female,Adult,,5/group,0.7-3.3 mg/kg bw,TOX-MORT - toxicity benchmarks,single,oral intubation,Toxicity Factor Datasets
Falco sparverius,EPN,,mean brain cholinesterase depression (relative to control) in birds that died in 8 hrs post-dose,,Both Male and Female,Adult,,12,2.2-11 mg/kg bw,TOX-Non-Repro-Sublethal - cellular/biochemical effects,single,oral intubation,Toxicity Factor Datasets
Falco sparverius,FENTHION,,mean brain cholinesterase depression (relative to control) in birds that died in 8 hrs post-dose,,Both Male and Female,Adult,,8,0.5-2.4 mg/kg bw,TOX-Non-Repro-Sublethal - cellular/biochemical effects,single,oral intubation,Toxicity Factor Datasets
Falco sparverius,CARBOFURAN,,mean brain cholinesterase depression (relative to control) in birds that died in 8 hrs post-dose,,Both Male and Female,Adult,,12,0.3-1.8 mg/kg bw,TOX-Non-Repro-Sublethal - cellular/biochemical effects,single,oral intubation,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,brain residues in birds that died,,Male,Adult,,2,10 ppm (dry wt),TOX-EXP IND - accumulation,14-16 mos,diet,Toxicity Factor Datasets
Peromyscus maniculatus,"DICHLOROPHENOXY-ACETIC ACID (2,4-)",,changes in population density; treated versus control site,,Not Reported,Both Adults and Juveniles,"Gunnison County and Saquache County, (elev., 8500 - 9300 ft.)",6 study areas/dose,"0, 2-3 lbs/acre",TOX-POP - size effects,single,field application,Toxicity Factor Datasets
Peromyscus maniculatus,"DICHLOROPHENOXY-ACETIC ACID (2,4-)",,"mean litter size, based upon number of viable embryos or placental scars",,Female,Adult,"Gunnison County and Saquache County, (elev., 8500 - 9300 ft.)",66-77 animals,"0, 2-3 lbs/acre",TOX-REPRO - reproductive success,single,field application,Toxicity Factor Datasets
Peromyscus maniculatus,DIPHACINONE,,,,Both Male and Female,Not Reported,,10 animals/dose,"0.00125, 0.0025, 0.005, 0.01, 0.02%",TOX-MORT - dose-response data,2 d,diet,Toxicity Factor Datasets
Peromyscus maniculatus,CHLOROPHACINONE,,,,Both Male and Female,Not Reported,,10 animals/dose,"0.00125, 0.0025, 0.005, 0.01, 0.02%",TOX-MORT - dose-response data,2 d,diet,Toxicity Factor Datasets
Peromyscus maniculatus,DIPHACINONE,,,,Both Male and Female,Not Reported,,10 animals/dose,"0.00125, 0.0025, 0.005, 0.01, 0.02%",TOX-MORT - dose-response data,4 d,diet,Toxicity Factor Datasets
Peromyscus maniculatus,CHLOROPHACINONE,,,,Both Male and Female,Not Reported,,10 animals/dose,"0.00125, 0.0025, 0.005, 0.01, 0.02%",TOX-MORT - dose-response data,4 d,diet,Toxicity Factor Datasets
Peromyscus maniculatus,"ARSENIC COMPOUNDS, CADMIUM COMPOUNDS, COPPER COMPOUNDS, LEAD COMPOUNDS, ZINC COMPOUNDS",,"mean carcass concentration (ug/g wet wt.); mean deer mice body weight = 36.0 +/- 8.3SD, n=8",,Not Reported,Not Reported,"Milltown Reservoir, Missoula",8 animals,"Mining waste; Mean soil concentrations (n=8): Arsenic, 52.5 +/- 6.2; Cadmium, 7.8 +/- 0.7; Copper, 532.2 +/- 69.4; Lead, 65.7 +/- 6.4; Zinc, 1,908.9 +/- 392.9SE ug/g",TOX-EXP IND - accumulation,NR,site contamination,Toxicity Factor Datasets
Peromyscus maniculatus,AZINPHOS-METHYL (GUTHION),,population density in enclosures with mowed alfalfa,,Both Male and Female,Both Adults and Juveniles,"Hyslop Crop Science Field Laboratory, Corvallis",0-30 animals/enclosure; 4 enclosures/dose,"0, 0.88, 3.61 kg/ha",TOX-POP - size effects,single,field application,Toxicity Factor Datasets
Peromyscus maniculatus,DIELDRIN,,"homing orientation test, measured as time in maze pointing to capture site",,Both Male and Female,Both Adults and Juveniles,NR,15 animals/dose,"0, 5 mg/kg",TOX-Non-Repro-Sublethal - behavioral effects,single,intraperitoneal,Toxicity Factor Datasets
Peromyscus maniculatus,DIELDRIN,,"homing, measured as number recaptured at pre-exposure site",,Both Male and Female,Both Adults and Juveniles,NR,15 animals/dose,"0, 5 mg/kg",TOX-Non-Repro-Sublethal - behavioral effects,single,intraperitoneal,Toxicity Factor Datasets
,MONOCROTOPHOS,,mean brain cholinesterase depression (relative to control) in birds that died in 8 hrs post-dose,,Both Male and Female,Adult,,15,0.7-3.3 mg/kg bw,TOX-Non-Repro-Sublethal - cellular/biochemical effects,single,oral intubation,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,mean brain residues in birds that survived,,Male,Adult,,11,10 ppm (dry wt),TOX-EXP IND - accumulation,12-15 mos,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,liver residues in birds that died,,Male,Adult,,2,10 ppm (dry wt),TOX-EXP IND - accumulation,14-16 mos,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,mean liver residues in birds that survived,,Male,Adult,,11,10 ppm (dry wt),TOX-EXP IND - accumulation,12-15 mos,diet,Toxicity Factor Datasets
Falco sparverius,"DDE (4,4'-)",,eggshell thickness change relative to control,,Female,Adult,Cayuga Lake Basin,34 eggs,33.2-41.9 ppm (dry wt) in eggs,TOX-REPRO - physiology,NR,parent diet,Toxicity Factor Datasets
Falco sparverius,FENTHION,,,,Male,Adult,,14,1.1-6.1 ug/g sparrow,TOX-MORT - dose-response data,1-3 d,diet,Toxicity Factor Datasets
Falco sparverius,FENTHION,,range of brain acetylcholinesterase inhibition (relative to control) in birds that died,,Male,Adult,,14,1.1-6.1 ug/g sparrow,TOX-Non-Repro-Sublethal - cellular/biochemical effects,1-3 d,diet,Toxicity Factor Datasets
Falco sparverius,FENTHION,,range of plasma cholinesterase inhibition (relative to control) in birds that died,,Male,Adult,,14,1.1-6.1 ug/g sparrow,TOX-EXP IND - biomarkers,1-3 d,diet,Toxicity Factor Datasets
Falco sparverius,LEAD COMPOUNDS,,mean lead concentration in blood (wet wt),,Both Male and Female,Nestling,Coeur D'Alene River,"30 (study area)
22 (reference)",3.0-1640 ug/g (wet wt) in prey species,TOX-EXP IND - accumulation,NR,diet,Toxicity Factor Datasets
Falco sparverius,LEAD COMPOUNDS,,mean lead concentration in blood (wet wt),,Both Male and Female,Adult,Coeur D'Alene River,"3 (study area)
6 (reference)",3.0-1640 ug/g (wet wt) in prey species,TOX-EXP IND - accumulation,NR,diet,Toxicity Factor Datasets
Falco sparverius,LEAD COMPOUNDS,,red blood cell delta aminolevulinic acid dehydratase activity (relative to control),,Both Male and Female,Both Adults and Juveniles,Coeur D'Alene River,33,3.0-1640 ug/g (wet wt) in prey species,TOX-EXP IND - biomarkers,NR,diet,Toxicity Factor Datasets
Falco sparverius,LEAD COMPOUNDS,,hematocrit,,Both Male and Female,Juvenile,Coeur D'Alene River,30,3.0-1640 ug/g (wet wt) in prey species,TOX-Non-Repro-Sublethal - cellular/biochemical effects,NR,diet,Toxicity Factor Datasets
Falco sparverius,LEAD COMPOUNDS,,hemoglobin (relative to control),,Both Male and Female,Both Adults and Juveniles,Coeur D'Alene River,33,3.0-1640 ug/g (wet wt) in prey species,TOX-Non-Repro-Sublethal - cellular/biochemical effects,NR,diet,Toxicity Factor Datasets
Falco sparverius,LEAD COMPOUNDS,,mean lead concentration in liver,,Both Male and Female,Juvenile,Coeur D'Alene River,30,3.0-1640 ug/g (wet wt) in prey species,TOX-EXP IND - accumulation,NR,diet,Toxicity Factor Datasets
Falco sparverius,LEAD COMPOUNDS,,number of young produced,,Both Male and Female,Adult,Coeur D'Alene River,20 nests,3.0-1640 ug/g (wet wt) in prey species,TOX-REPRO - reproductive success,NR,diet,Toxicity Factor Datasets
Falco sparverius,DDT (Technical Grade Mixture),,mean DDT concentration in eggs 0-0.8 mi from sprayed area,,Both Male and Female,Embryo,"La Grande-Enterprise (OR), Potlatch (ID)",21 eggs,0.75 lb/ac application,TOX-EXP IND - accumulation,1 yr,diet,Toxicity Factor Datasets
Falco sparverius,DDT (Technical Grade Mixture),,change in mean eggshell thickness (relative to control) 0-0.8 miles from sprayed area,,Female,Adult,"La Grande-Enterprise (OR), Potlatch (ID)",21 eggs,0.75 lb/ac application,TOX-REPRO - physiology,1 yr,diet,Toxicity Factor Datasets
Falco sparverius,DDT (Technical Grade Mixture),,mean productivity (young produced),,Both Male and Female,Adult,"La Grande-Enterprise (OR), Potlatch (ID)",21 eggs,0.75 lb/ac application,TOX-REPRO - reproductive success,1 yr,diet,Toxicity Factor Datasets
Falco sparverius,DDT (Technical Grade Mixture),,mean DDT concentration in plasma of birds sampled 0-1.5 mi from sprayed area,,Both Male and Female,Adult,"La Grande-Enterprise (OR), Potlatch (ID)",23 birds,0.75 lb/ac application,TOX-EXP IND - accumulation,1 yr,diet,Toxicity Factor Datasets
Lithobates catesbeianus,HEPTACHLOR,,,,Not Reported,Tadpole,"ponds, southern San Joaquin Valley",10 animals/dose,"0.1, 0.5 lbs/acre",TOX-MORT - mortality in the field,single application,waterborne,Toxicity Factor Datasets
Lithobates catesbeianus,ENDOSULFAN,,,,Not Reported,Tadpole,"ponds, southern San Joaquin Valley",10 animals/dose,"0.1, 0.5 lbs/acre",TOX-MORT - mortality in the field,single application,waterborne,Toxicity Factor Datasets
Lithobates catesbeianus,CHLORDECONE (KEPONE),,,,Not Reported,Tadpole,"ponds, southern San Joaquin Valley",10 animals/dose,"0.1, 0.5 lbs/acre",TOX-MORT - mortality in the field,single application,waterborne,Toxicity Factor Datasets
Lithobates catesbeianus,DDT (Technical Grade Mixture),,,,Not Reported,Tadpole,"ponds, southern San Joaquin Valley",10 animals/dose,"0.1, 1.0 lbs/acre",TOX-MORT - mortality in the field,single application,waterborne,Toxicity Factor Datasets
Peromyscus maniculatus,GLYPHOSATE,,population density (decreases),,Both Male and Female,Both Adults and Juveniles,"University of British Columbia Research Forest, Maple Ridge, British Columbia",Not Reported,2.2 kg/ha,TOX-POP - size effects,single,field application,Toxicity Factor Datasets
Peromyscus maniculatus,TERBUFOS,,,,Both Male and Female,Not Reported,,70 animals/dose,"0, 0.92, 1.69 and 2.48 g active ingredient/kg",TOX-MORT - dose-response data,single,gavage,Toxicity Factor Datasets
Peromyscus maniculatus,TERBUFOS,,brain cholinesterase activity,,Both Male and Female,Not Reported,,70 animals/dose,"0, 0.92, 1.69 and 2.48 g active ingredient/kg",TOX-Non-Repro-Sublethal - cellular/biochemical effects,single,gavage,Toxicity Factor Datasets
Peromyscus maniculatus,TERBUFOS,,incidence of tremors and rapid breathing,,Both Male and Female,Not Reported,,70 animals/dose,"0, 0.92, 1.69 and 2.48 g active ingredient/kg",TOX-Non-Repro-Sublethal - behavioral effects,single,gavage,Toxicity Factor Datasets
Peromyscus maniculatus,ALDICARB,,food intake,,Female,,,8 animals/dose,"0, 10, 10,000 ug/l",TOX-Non-Repro-Sublethal - behavioral effects,44 d,drinking water,Toxicity Factor Datasets
Peromyscus maniculatus,ALDICARB,,growth rate estimated by changes in body weight,,Female,,,8 animals/dose,"0, 10, 10,000 ug/l",TOX-Non-Repro-Sublethal - organ/system effects,44 d,drinking water,Toxicity Factor Datasets
Peromyscus maniculatus,ALDICARB,,daily activity measured as time spend in burrow or moving in/out of burrow,,Female,,,8 animals/dose,"0, 10, 10,000 ug/l",TOX-Non-Repro-Sublethal - behavioral effects,44 d,drinking water,Toxicity Factor Datasets
Peromyscus maniculatus,METHIOCARB,,suppression of feeding on treated corn,,Both Male and Female,Not Reported,,10 - 12 animals/dose,"0, 0.03, 0.125, 0.5% active ingredient by weight of corn seed",TOX-Non-Repro-Sublethal - behavioral effects,1 - 6 d,diet,Toxicity Factor Datasets
Peromyscus maniculatus,THIRAM,,suppression of feeding on treated corn,,Both Male and Female,Not Reported,,10 - 12 animals/dose,"0, 0.31, 1.25% active ingredient by weight of corn seed",TOX-Non-Repro-Sublethal - behavioral effects,1 - 6 d,diet,Toxicity Factor Datasets
Peromyscus maniculatus,GLYPHOSATE,,recruitment measured as number of new animals that entered the population through reproduction or immigration in treated and control areas,,Both Male and Female,Both Adults and Juveniles,"University of British Columbia Research Forest, Maple Ridge, British Columbia",Not Reported,"0, 3.0 kg active ingredient /ha",TOX-POP - size effects,single,field application,Toxicity Factor Datasets
Peromyscus maniculatus,GLYPHOSATE,,body weight,,Both Male and Female,Both Adults and Juveniles,"University of British Columbia Research Forest, Maple Ridge, British Columbia",67 - 138 animals,"0, 3.0 kg active ingredient /ha",TOX-Non-Repro-Sublethal - whole animal,single,field application,Toxicity Factor Datasets
Anas platyrhynchos,CADMIUM CHLORIDE,,kidney Cu concentration versus controls,,Male,Adult,,8,"0, 10, or 50 ug Cd/g",TOX-EXP IND - accumulation,42 days,Diet,Toxicity Factor Datasets
Anas platyrhynchos,CADMIUM CHLORIDE,,kidney Zn concentration versus controls,,Male,Adult,,8,"0, 10, or 50 ug Cd/g",TOX-EXP IND - accumulation,42 days,Diet,Toxicity Factor Datasets
Anas platyrhynchos,CADMIUM CHLORIDE,,BW versus controls,,Male,Adult,,8,"0, 10, or 50 ug Cd/g",TOX-Non-Repro-Sublethal - whole animal,42 days,Diet,Toxicity Factor Datasets
Anas platyrhynchos,CADMIUM CHLORIDE,,"brain, liver, kidney, testes weights versus controls",,Male,Adult,,8,"0, 10, or 50 ug Cd/g",TOX-Non-Repro-Sublethal - whole animal,42 days,Diet,Toxicity Factor Datasets
Anas platyrhynchos,CADMIUM CHLORIDE,,liver glycogen concentration versus controls,,Male,Adult,,8,"0, 10, or 50 ug Cd/g",TOX-Non-Repro-Sublethal - organ/system effects,42 days,Diet,Toxicity Factor Datasets
Anas platyrhynchos,CADMIUM CHLORIDE,,% packed cell volume versus controls,,Male,Adult,,8,"0, 10, or 50 ug Cd/g",TOX-Non-Repro-Sublethal - organ/system effects,42 days,Diet,Toxicity Factor Datasets
Anas platyrhynchos,CADMIUM CHLORIDE,,"plasma glucose, NEFA, urea, or uric acid versus controls",,Male,Adult,,8,"0, 10, or 50 ug Cd/g",TOX-Non-Repro-Sublethal - cellular/biochemical effects,42 days,Diet,Toxicity Factor Datasets
Anas platyrhynchos,CADMIUM CHLORIDE,,thyroid hormone concentrations versus controls,,Male,Adult,,8,"0, 10, or 50 ug Cd/g",TOX-Non-Repro-Sublethal - cellular/biochemical effects,42 days,Diet,Toxicity Factor Datasets
Anas platyrhynchos,CADMIUM CHLORIDE,,"adrenal wt, corticosterone concentrations versus controls",,Male,Adult,,8,"0, 10, or 50 ug Cd/g",TOX-Non-Repro-Sublethal - organ/system effects,42 days,Diet,Toxicity Factor Datasets
Peromyscus maniculatus,GLYPHOSATE,,"growth rate, estimated by changes in body weight",,Both Male and Female,Juvenile,"University of British Columbia Research Forest, Maple Ridge, British Columbia",23 - 55,"0, 3.0 kg active ingredient /ha",TOX-REPRO - development,single,field application,Toxicity Factor Datasets
Peromyscus maniculatus,RADIONUCLIDES,,whole animal dose estimated with implanted dosimeters,,Not Reported,Not Reported,"test reactor area, Idaho National Engineering Lab",70 animals,Air: 10 - 2000 mroetgen/d,TOX-EXP IND - accumulation,NR,site contamination,Toxicity Factor Datasets
Peromyscus maniculatus,AMINOCARB,,mean activity level estimated by frequency of crossing sand transects,,Not Reported,Not Reported,"southwestern Quebec [lat., 46^oN; long., 74^o10'W]",Not Reported,"0, 175 g active ingredient/ha",TOX-Non-Repro-Sublethal - behavioral effects,single,field application,Toxicity Factor Datasets
Peromyscus maniculatus,LEAD COMPOUNDS,,"Mean concentrations in deer mice from roadside site (ppm, dry weight).  Feces collected from nest box after 1 yr accumulation.  Roadside tissue concentrations significantly different from control site.",,Both Male and Female,Adult,"Interstate 25, Denver (elev. 1884-2018 m)",9 - 10 animals,"mean surface soil; 73.0 +/- 19.9SD ppm, dry weight",TOX-EXP IND - accumulation,NR,multiple,Toxicity Factor Datasets
Peromyscus maniculatus,LEAD COMPOUNDS,,"number of litters per 100 breeding females, measured by observing litters in nesting boxes at a control and roadside site",,Female,Adult,"Interstate 25, Denver (elev. 1884-2018 m)","50 nesting boxes, 66 observation periods nimals","mean surface soil; 73.0 +/- 19.9SD ppm, dry weight",TOX-REPRO - reproductive success,NR,multiple,Toxicity Factor Datasets
Peromyscus maniculatus,LEAD COMPOUNDS,,"mortality during winter, estimated by number of mice recaptured the following breeding season at a control and roadside site",,Both Male and Female,Adult,"Interstate 25, Denver (elev. 1884-2018 m)",98 - 180 tagged animals,"mean surface soil; 73.0 +/- 19.9SD ppm, dry weight",TOX-MORT - mortality in the field,NR,multiple,Toxicity Factor Datasets
